region_id,latitude,longitude,year,month,temp_c,humidity,wind_speed,rain_mm_last_7d,vegetation_index,population_density,fire_occurred,burned_area_ha
39,41.46953459007899,-116.13724043242905,2018,2,24.09307298445357,42.195397853388236,6.227703910237317,0.2901685043589791,0.7923357063080614,79.09781523671404,0,0.0
29,34.060274905072596,-118.25412617682234,2021,3,22.528228310716415,51.71623978746993,9.026583322082203,2.3052800746851463,0.5166264343440072,64.46769161618873,0,0.0
15,35.80266238170022,-118.33424637828581,2016,12,18.74651968505887,38.867670060983386,8.471925995260108,3.5241682363083635,0.49707231265075724,122.07877332881071,0,0.0
43,36.92285455739246,-120.08957236941825,2023,8,25.109719041076662,42.32036876140445,31.70159070485347,4.108866539615062,0.30973406331950626,187.82173966204812,0,0.0
8,37.9024784064699,-118.9884700081799,2022,1,14.675213062076324,32.91817397131531,7.476291858004727,6.521086899174731,0.498484239544381,134.34896809549667,0,0.0
21,40.80654014268917,-120.02821222570789,2022,10,21.570009791402892,36.43536599420263,2.6663931929322437,2.1913290115388437,0.5761918570198649,14.949180727263101,1,42.24341898224045
39,34.703100996321155,-118.60267381240057,2021,7,20.361079454696196,11.718842917586262,39.94243226342515,4.742576357879139,0.21575302920008055,92.13699469642675,0,0.0
19,40.44691909392915,-117.72049947227364,2018,7,23.803115742455425,41.948151098664226,0.9926884578059658,4.4019090070512,0.5108791036227844,178.1648263021255,0,0.0
23,34.445227914855806,-117.25696193590952,2016,1,23.933351003453655,14.07236064455796,33.40976240635462,3.9661206239689877,0.7469493528766402,18.892485160217376,1,91.11232166728595
11,40.73851228238545,-118.67518807440574,2017,9,29.799783372168726,31.75072971701117,14.614673662026112,5.114973152087163,0.6760322394619889,197.77514242750865,0,0.0
11,34.4130838229961,-116.78577932671269,2020,8,32.917386386248,24.632754883370392,33.66461839031261,1.5018050313172662,0.6446098922047545,189.81387872908425,1,58.55415128327755
24,34.14593985142689,-122.58721950724494,2019,4,19.41110579881515,37.27139751058566,22.1848196484458,0.4422370575215551,0.8366887999060417,15.654896145975172,0,0.0
36,39.57569169893137,-121.88017509097762,2022,10,34.96416312635015,16.670816776160354,36.065249179454405,0.6350303420505166,0.212622406877661,186.682664089911,1,4.36953544167181
40,41.97804427814715,-115.8126499592573,2020,11,21.10352200239284,44.58217009866591,37.047719456585064,1.2717676683527603,0.5899333103345639,72.62651805189245,0,0.0
24,41.17288210379217,-120.77472022153584,2020,5,25.86263391461545,49.75057684642352,0.36392725123103986,3.467715649915719,0.7511441938867949,168.9418334151725,1,6.739620568007954
3,38.60798734244528,-123.7710617502388,2015,2,27.554314945741588,18.167722487157825,3.0164870397115306,9.176762452057565,0.578934767890887,83.6766675426543,1,24.957931318239794
22,41.33916490468425,-122.46208850331969,2018,9,37.222913762912526,15.215654367594109,10.01434918283422,6.0414663219068965,0.4267268868062654,88.17102254050317,1,95.33787933033695
2,34.04240005118084,-121.76385565503689,2019,12,22.28858831118668,17.275774139367957,26.772616654540066,7.78044800500484,0.2953753955643845,126.84861819550852,1,118.35844035116972
24,41.80053730356114,-114.42677112105413,2017,12,16.01630993510973,53.856378094925084,35.53088786046024,2.1614250177373515,0.8212941502713338,154.89548385519666,1,35.298621028412015
44,37.92599023407028,-118.2695857106915,2023,6,32.451897350964906,36.40946308781781,18.39767805175851,2.5930604794636327,0.5295336746713221,6.757830189649727,1,45.08299411704243
30,39.78316877297421,-114.67269259523745,2015,3,20.833132206022825,33.36304980037513,24.278924650970616,2.5017524501819777,0.8146806378899909,118.63119910542686,1,61.57530872977058
38,40.56689178522682,-118.24836649503375,2020,12,23.192057097122035,15.335590955117713,7.539994111822446,1.0651814139098732,0.6100964857032178,37.346598819474195,1,89.41587053153359
2,39.74765816669243,-119.20645559862149,2020,7,19.411251730369123,42.47780033784809,32.19867335526742,0.3158527962202368,0.6719344816305005,69.18990357264059,0,0.0
21,38.280293856359286,-120.86272308805904,2019,9,23.206481134755407,53.3999795947545,38.69312445413879,4.469174959842306,0.762982808064915,69.5937332310433,0,0.0
33,37.8129558730113,-117.93629055566625,2019,3,20.798042318972797,51.40929346617265,10.743957316583899,22.648775501955228,0.661408881220094,93.81206804423073,0,0.0
12,40.708660469620995,-122.6080197538247,2019,2,28.382209082473857,41.302735449040064,19.793038064021854,0.9125861093771682,0.47863838847525636,66.82728237523467,0,0.0
22,35.640620481195675,-115.01738372707294,2020,7,25.403958148609895,13.76393583258368,3.444644420254952,0.23904852935015952,0.5595433687500557,21.472223690133553,1,27.573679587893125
44,41.74395253203387,-115.70667594858716,2022,7,21.594724196926606,15.619851358800648,22.365466258518737,7.560006380798195,0.7621318672731159,29.125747705090287,0,0.0
